title,artist,lyrics
Kal Ho Naa Ho,Sonu Nigam,Lyrics not found
Kajra Re,"Alisha Chinoy, Shankar Mahadevan, Javed Ali",Lyrics not found
Ajeeb Dastan Hai Yeh,Lata Mangeshkar,Lyrics not found
Mehndi Laga Ke Rakhna,"Lata Mangeshkar, Udit Narayan",Lyrics not found
Iktara,"Kavita Seth, Amitabh Bhattacharya",Lyrics not found
Baharon Phool Barsao,Mohammed Rafi,Lyrics not found
Tum Hi Ho,Arijit Singh,Lyrics not found
Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar",Lyrics not found
Channa Mereya,Arijit Singh,Lyrics not found
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Lyrics not found
Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal",Lyrics not found
Raabta,Arijit Singh,Lyrics not found
Tera Yaar Hoon Main,Arijit Singh,Lyrics not found
Dil Diyan Gallan,Atif Aslam,Lyrics not found
Pee Loon,Mohit Chauhan,Lyrics not found
Sun Saathiya,"Priya Saraiya, Divya Kumar",Lyrics not found
Galliyan,Ankit Tiwari,Lyrics not found
Tum Mile,Neeraj Shridhar,Lyrics not found
Muskurane,Arijit Singh,Lyrics not found
Tum Mile,Neeraj Shridhar,Lyrics not found
Shape of You,Ed Sheeran,Lyrics not found
Someone Like You,Adele,Lyrics not found
Bohemian Rhapsody,Queen,Lyrics not found
Happy,Pharrell Williams,Lyrics not found
Let It Be,The Beatles,Lyrics not found
Rolling in the Deep,Adele,Lyrics not found
Someone You Loved,Lewis Capaldi,Lyrics not found
Bad Guy,Billie Eilish,Lyrics not found
Thinking Out Loud,Ed Sheeran,Lyrics not found
Stay With Me,Sam Smith,Lyrics not found
Uptown Funk,Mark Ronson ft. Bruno Mars,Lyrics not found
Someone Like You,Adele,Lyrics not found
Counting Stars,OneRepublic,Lyrics not found
Firework,Katy Perry,Lyrics not found
Lose Yourself,Eminem,Lyrics not found
All of Me,John Legend,Lyrics not found
Eye of the Tiger,Survivor,Lyrics not found
Thinking Out Loud,Ed Sheeran,Lyrics not found
Perfect,Ed Sheeran,Lyrics not found
Counting Stars,OneRepublic,Lyrics not found
Tujhe Kitna Chahne Lage,Arijit Singh,Lyrics not found
Khairiyat,Arijit Singh,Lyrics not found
Manwa Laage,"Shreya Ghoshal, Arijit Singh",Lyrics not found
Iktara,Kavita Seth,Lyrics not found
Kabira,"Arijit Singh, Harshdeep Kaur",Lyrics not found
Channa Mereya,Arijit Singh,Lyrics not found
Baharon Phool Barsao,Mohammed Rafi,Lyrics not found
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Lyrics not found
Maula Mere Maula,Roop Kumar Rathod,Lyrics not found
Tera Yaar Hoon Main,Arijit Singh,Lyrics not found
Raabta,Arijit Singh,Lyrics not found
Dil Diyan Gallan,Atif Aslam,Lyrics not found
Pee Loon,Mohit Chauhan,Lyrics not found
Sun Saathiya,"Priya Saraiya, Divya Kumar",Lyrics not found
Galliyan,Ankit Tiwari,Lyrics not found
Tum Mile,Neeraj Shridhar,Lyrics not found
Muskurane,Arijit Singh,Lyrics not found
Zinda,Siddharth Mahadevan,Lyrics not found
Ruk Jaana Nahin,Kishore Kumar,Lyrics not found
Aashayein,KK,Lyrics not found
Besabriyaan,Armaan Malik,Lyrics not found
Phir Se Ud Chala,Mohit Chauhan,Lyrics not found
Jeetega Jeetega,Various Artists,Lyrics not found
Dil Dhadakne Do,"Priyanka Chopra, Farhan Akhtar",Lyrics not found
Brothers Anthem,Vishal Dadlani,Lyrics not found
Maula Mere Maula,Roop Kumar Rathod,Lyrics not found
Tera Ban Jaunga,"Akhil Sachdeva, Tulsi Kumar",Lyrics not found
Tujh Mein Rab Dikhta Hai,Roop Kumar Rathod,Lyrics not found
Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal",Lyrics not found
Tum Hi Ho,Arijit Singh,Lyrics not found
Mehndi Laga Ke Rakhna,"Lata Mangeshkar, Udit Narayan",Lyrics not found
Ajeeb Dastan Hai Yeh,Lata Mangeshkar,Lyrics not found
Kajra Re,"Alisha Chinai, Shankar Mahadevan, Javed Ali",Lyrics not found
Kal Ho Naa Ho,Sonu Nigam,Lyrics not found
Ziddi Dil,Vishal Dadlani,Lyrics not found
Chahun Main Ya Naa,"Arijit Singh, Palak Muchhal",Lyrics not found
Tum Ho,Mohit Chauhan,Lyrics not found
Hum Mar Jayenge,"Arijit Singh, Tulsi Kumar",Lyrics not found
Tere Mere,Armaan Malik,Lyrics not found
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Lyrics not found
Maula Mere Maula,Roop Kumar Rathod,Lyrics not found
